Nondimensionalised mobility scalars, generated 05/09/2023 22:40:01. Time to generate 3h02m42s
             s'          lambda           gamma              xa              ya              yb              xc              yc              xg              yg              yh              xm              ym              zm 
 3.00000000e+00  1.00000000e-02  1.00000000e+00  8.46294554e-01  5.66952370e-01 -2.17843732e-01  2.87582266e-01 -1.43790408e-01 -4.02218713e-01 -4.74636870e-02  3.59478016e-01  6.86065328e-07 -2.17722759e-07 -1.25308494e-07
 3.10000000e+00  1.00000000e-02  0.00000000e+00  9.99999781e-01  9.99999965e-01  5.42518645e-08  1.00000000e+00  9.99999745e-01  2.00795409e-07 -1.56871205e-08 -7.36859892e-08  1.00000044e+00  1.00000005e+00  1.00000001e+00
 3.10000000e+00  1.00000000e-02  1.00000000e+00  8.27828214e-01  5.44246710e-01 -2.04015938e-01  2.60639830e-01 -1.30319434e-01 -3.85152145e-01 -4.16293628e-02  3.25799927e-01  6.65042751e-07 -2.26160409e-07 -1.06359977e-07
 3.20000000e+00  1.00000000e-02  0.00000000e+00  9.99999791e-01  9.99999973e-01  4.34402742e-08  1.00000000e+00  9.99999789e-01  1.89130913e-07 -1.40150745e-08 -6.79548668e-08  1.00000041e+00  1.00000005e+00  1.00000001e+00
 3.20000000e+00  1.00000000e-02  1.00000000e+00  8.09726389e-01  5.23355003e-01 -1.91464148e-01  2.36960485e-01 -1.18479915e-01 -3.68666972e-01 -3.66645763e-02  2.96200712e-01  6.40317270e-07 -2.29409987e-07 -9.07479368e-08
 3.30000000e+00  1.00000000e-02  0.00000000e+00  9.99999801e-01  9.99999979e-01  3.50220162e-08  1.00000000e+00  9.99999825e-01  1.76701839e-07 -1.23664957e-08 -6.18347445e-08  1.00000038e+00  1.00000005e+00  1.00000001e+00
 3.30000000e+00  1.00000000e-02  1.00000000e+00  7.92047325e-01  5.04066641e-01 -1.80036058e-01  2.16064813e-01 -1.08032178e-01 -3.52835384e-01 -3.24183469e-02  2.70081097e-01  6.13485734e-07 -2.28935661e-07 -7.78066860e-08
 3.40000000e+00  1.00000000e-02  0.00000000e+00  9.99999812e-01  9.99999983e-01  2.84173114e-08  1.00000000e+00  9.99999854e-01  1.64096133e-07 -1.08251269e-08 -5.57675702e-08  1.00000034e+00  1.00000005e+00  1.00000000e+00
 3.40000000e+00  1.00000000e-02  1.00000000e+00  7.74829572e-01  4.86202221e-01 -1.69601430e-01  1.97555495e-01 -9.87775854e-02 -3.37695572e-01 -2.87694124e-02  2.46944431e-01  5.85670284e-07 -2.25816671e-07 -6.70180843e-08
 3.50000000e+00  1.00000000e-02  0.00000000e+00  9.99999822e-01  9.99999987e-01  2.31982960e-08  1.00000000e+00  9.99999877e-01  1.51708962e-07 -9.42803872e-09 -4.99985861e-08  1.00000031e+00  1.00000005e+00  1.00000000e+00
 3.50000000e+00  1.00000000e-02  1.00000000e+00  7.58096900e-01  4.69608032e-01 -1.60048361e-01  1.81101369e-01 -9.05505671e-02 -3.23261915e-01 -2.56197279e-02  2.26376759e-01  5.57653338e-07 -2.20850630e-07 -5.79757476e-08
 3.60000000e+00  1.00000000e-02  0.00000000e+00  9.99999833e-01  9.99999990e-01  1.90463670e-08  1.00000000e+00  9.99999896e-01  1.39795211e-07 -8.18600924e-09 -4.46521148e-08  1.00000028e+00  1.00000005e+00  1.00000000e+00
 3.60000000e+00  1.00000000e-02  1.00000000e+00  7.41862008e-01  4.54151656e-01 -1.51280274e-01  1.66424922e-01 -8.32123752e-02 -3.09532284e-01 -2.28895214e-02  2.08031190e-01  5.29973463e-07 -2.14627861e-07 -5.03586483e-08
 3.70000000e+00  1.00000000e-02  0.00000000e+00  9.99999843e-01  9.99999992e-01  1.57222637e-08  1.00000000e+00  9.99999912e-01  1.28509413e-07 -7.09555589e-09 -3.97790821e-08  1.00000025e+00  1.00000004e+00  1.00000000e+00
 3.70000000e+00  1.00000000e-02  1.00000000e+00  7.26129336e-01  4.39718437e-01 -1.43213462e-01  1.53292425e-01 -7.66461484e-02 -2.96493280e-01 -2.05135036e-02  1.91615560e-01  5.02993890e-07 -2.07585307e-07 -4.39114664e-08
