Nondimensionalised resistance scalars, generated 05/09/2023 22:40:01. Time to generate 3h02m42s
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 3.00000000e+00  1.00000000e-02  1.00000000e+00 -8.61253691e-03 -5.70509618e-03  6.57631846e-03 -2.87582398e-07  1.45047894e-07 -1.22798531e-02 -1.43284547e-03  3.59752479e-07  7.02694469e-07 -2.16639528e-07 -1.25308494e-07
 3.10000000e+00  1.00000000e-02  0.00000000e+00  1.00696116e+00  1.00297846e+00 -3.34957972e-03  1.00000007e+00  1.00125580e+00  9.71646486e-03  6.83583286e-04  2.56159270e-04  1.00361673e+00  1.00012577e+00  1.00000001e+00
 3.10000000e+00  1.00000000e-02  1.00000000e+00 -8.40867556e-03 -5.47234291e-03  6.15407719e-03 -2.60639916e-07  1.31336000e-07 -1.17365658e-02 -1.25573703e-03  3.26007676e-07  6.78133568e-07 -2.25420210e-07 -1.06359977e-07
 3.20000000e+00  1.00000000e-02  0.00000000e+00  1.00664961e+00  1.00275243e+00 -3.02089358e-03  1.00000006e+00  1.00110532e+00  9.08295360e-03  5.78578585e-04  2.11587456e-04  1.00330857e+00  1.00009752e+00  1.00000001e+00
 3.20000000e+00  1.00000000e-02  1.00000000e+00 -8.21191221e-03 -5.25893747e-03  5.77178872e-03 -2.36960542e-07  1.19311383e-07 -1.12166090e-02 -1.10527339e-03  2.96360152e-07  6.50785373e-07 -2.28893442e-07 -9.07479368e-08
 3.30000000e+00  1.00000000e-02  0.00000000e+00  1.00635402e+00  1.00255194e+00 -2.73444021e-03  1.00000005e+00  1.00097678e+00  8.49189726e-03  4.92458749e-04  1.75818620e-04  1.00302651e+00  1.00007622e+00  1.00000001e+00
 3.30000000e+00  1.00000000e-02  1.00000000e+00 -8.02202591e-03 -5.06245966e-03  5.42443407e-03 -2.16064851e-07  1.08719209e-07 -1.07207804e-02 -9.76755532e-04  2.70204959e-07  6.21969044e-07 -2.28568544e-07 -7.78066860e-08
 3.40000000e+00  1.00000000e-02  0.00000000e+00  1.00607394e+00  1.00237321e+00 -2.48355747e-03  1.00000004e+00  1.00086645e+00  7.94190645e-03  4.21354960e-04  1.46916968e-04  1.00276924e+00  1.00006002e+00  1.00000000e+00
 3.40000000e+00  1.00000000e-02  1.00000000e+00 -7.83882668e-03 -4.88089681e-03  5.10779557e-03 -1.97555522e-07  9.93503839e-08 -1.02492380e-02 -8.66433147e-04  2.47041702e-07  5.92624935e-07 -2.25551524e-07 -6.70180843e-08
 3.50000000e+00  1.00000000e-02  0.00000000e+00  1.00580881e+00  1.00221314e+00 -2.26282410e-03  1.00000003e+00  1.00077129e+00  7.43108139e-03  3.62283741e-04  1.23413993e-04  1.00253512e+00  1.00004760e+00  1.00000000e+00
 3.50000000e+00  1.00000000e-02  1.00000000e+00 -7.66212914e-03 -4.71255574e-03  4.81829646e-03 -1.81101388e-07  9.10319599e-08 -9.80168228e-03 -7.71288514e-04  2.26453895e-07  5.63412620e-07 -2.20656372e-07 -5.79757476e-08
 3.60000000e+00  1.00000000e-02  0.00000000e+00  1.00555801e+00  1.00206919e+00 -2.06779345e-03  1.00000003e+00  1.00068887e+00  6.95723039e-03  3.12923844e-04  1.04185956e-04  1.00232239e+00  1.00003799e+00  1.00000000e+00
