'D'-form resistance scalars, generated 26/04/2020 20:38:12
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM
 2.02500000e+00  1.00000000e-02  1.00000000e+00 -6.90092397e-03 -2.58404690e-03  2.56151159e-03 -1.00115886e-08  1.34096385e-06 -7.02366701e-03 -1.22576606e-03  6.67791510e-07  1.10091995e-05  4.49783683e-06 -1.11586196e-08
 2.05000000e+00  1.00000000e-02  0.00000000e+00  3.69717730e-03  1.33538354e-03 -1.31357247e-03  2.70112555e-09  1.29294300e-03  3.79698529e-03  6.13015128e-04  6.03382505e-04  2.60025677e-03  5.63180307e-04  3.14450443e-09
 2.05000000e+00  1.00000000e-02  1.00000000e+00 -3.70225654e-03 -1.40217379e-03  1.38014261e-03 -2.65172631e-09  3.90954949e-07 -3.80307038e-03 -6.44079983e-04  1.89598282e-07  4.40964856e-06  1.72069730e-06 -3.08539026e-09
 2.10000000e+00  1.00000000e-02  0.00000000e+00  1.87397464e-03  6.12536252e-04 -5.94062572e-04  6.85600243e-10  5.76943583e-04  1.95043765e-03  2.64082055e-04  2.56470871e-04  1.35395868e-03  2.28023457e-04  8.75417072e-10
 2.10000000e+00  1.00000000e-02  1.00000000e+00 -1.88186419e-03 -6.66275140e-04  6.47072322e-04 -5.18377210e-10  8.54079463e-08 -1.95953207e-03 -2.87646331e-04  3.94837650e-08  1.63994470e-06  5.48440100e-07 -6.39056555e-10
 2.20000000e+00  1.00000000e-02  0.00000000e+00  8.54372855e-04  2.25739163e-04 -2.12717285e-04  2.25511831e-10  2.01199877e-04  9.01227296e-04  8.61337482e-05  8.14699444e-05  6.34395114e-04  6.59784896e-05  2.76026091e-10
 2.20000000e+00  1.00000000e-02  1.00000000e+00 -8.65911540e-04 -2.62081666e-04  2.47890666e-04 -7.28092542e-11  1.44991919e-08 -9.14302517e-04 -1.00376027e-04  6.11881787e-09  5.29461981e-07  1.33745797e-07 -9.00308928e-11
 2.30000000e+00  1.00000000e-02  0.00000000e+00  4.95806329e-04  1.08829315e-04 -9.94745745e-05  1.33173694e-10  9.16353687e-05  5.23729761e-04  3.68477866e-05  3.39439170e-05  3.69446765e-04  2.51475930e-05  1.39617873e-10
 2.30000000e+00  1.00000000e-02  1.00000000e+00 -5.08944758e-04 -1.34012623e-04  1.23451192e-04 -1.94137957e-11  4.65446125e-09 -5.38525498e-04 -4.57292078e-05  1.79877297e-09  2.46131672e-07  4.86080288e-08 -2.19583803e-11
 2.40000000e+00  1.00000000e-02  0.00000000e+00  3.19265685e-04  5.98473992e-05 -5.29362543e-05  8.98507935e-11  4.74936403e-05  3.35046651e-04  1.80069066e-05  1.61555146e-05  2.35026965e-04  1.09911525e-05  8.03350719e-11
 2.40000000e+00  1.00000000e-02  1.00000000e+00 -3.32739701e-04 -7.76718939e-05  6.96858126e-05 -6.99238000e-12  1.77462145e-09 -3.50112912e-04 -2.37044130e-05  6.33455580e-10  1.36132356e-07  2.15343152e-08 -7.12198462e-12
 2.50000000e+00  1.00000000e-02  0.00000000e+00  2.17390989e-04  3.56994250e-05 -3.04581896e-05  6.34690078e-11  2.66162936e-05  2.25400666e-04  9.54763591e-06  8.34330842e-06  1.56411400e-04  5.23080962e-06  4.90858465e-11
 2.50000000e+00  1.00000000e-02  1.00000000e+00 -2.30408546e-04 -4.85006840e-05  4.23827503e-05 -2.99028865e-12  7.37041549e-10 -2.39829678e-04 -1.32855555e-05  2.44907801e-10  8.23549895e-08  1.06642067e-08 -2.69342505e-12
 2.60000000e+00  1.00000000e-02  0.00000000e+00  1.53736796e-04  2.26295593e-05 -1.85446857e-05  4.59234872e-11  1.57864844e-05  1.56864644e-04  5.37415281e-06  4.57481957e-06  1.07293603e-04  2.65159489e-06  3.13207238e-11
 2.60000000e+00  1.00000000e-02  1.00000000e+00 -1.65876075e-04 -3.19435543e-05  2.71923301e-05 -1.43589991e-12  2.85358015e-10 -1.70185926e-04 -7.88017141e-06  8.98706905e-11  5.31684203e-08  5.74985318e-09 -1.15946821e-12
 2.70000000e+00  1.00000000e-02  0.00000000e+00  1.11529799e-04  1.50280749e-05 -1.17638531e-05  3.37812001e-11  9.75710437e-06  1.11653225e-04  3.16104026e-06  2.62179020e-06  7.50865426e-05  1.40905226e-06  2.07278639e-11
