Resistance scalars, generated 25/01/2019 15:36:04. Time to generate 0h50m57s
             s'          lambda            X11A            X12A            X21A            X22A            Y11A            Y12A            Y21A            Y22A            Y11B            Y12B            Y21B            Y22B            X11C            X12C            X21C            X22C            Y11C            Y12C            Y21C            Y22C            X11G            X12G            X21G            X22G            Y11G            Y12G            Y21G            Y22G            Y11H            Y12H            Y21H            Y22H            X11M            X12M            X21M            X22M            Y11M            Y12M            Y21M            Y22M            Z11M            Z12M            Z21M            Z22M 
 2.90000000e+00  1.00000000e-02  1.00763317e+00 -8.82379172e-03 -8.82379172e-03  1.02004307e-02  1.00352697e+00 -5.96014649e-03 -5.96014649e-03  1.00725618e-02 -2.77918608e-03  4.69636659e-03 -4.68921820e-07  4.50998784e-09  1.33333347e+00 -4.24493357e-07 -4.24493357e-07  1.33333422e-06  1.33552357e+00  2.14348468e-07  2.14348468e-07  1.33333632e-06  7.40794613e-03 -8.56318845e-03  6.59060125e-07 -4.26963000e-08  6.48099488e-04 -1.09502709e-03  1.86082138e-07 -8.29981894e-09  5.10537376e-04  5.31108112e-07  5.34488939e-07 -1.39983710e-12  1.11590415e+00  8.02920107e-07  8.02920107e-07  1.11112177e-06  1.11134967e+00 -2.22755737e-07 -2.22755737e-07  1.11111741e-06  1.11111114e+00 -1.64950797e-07 -1.64950797e-07  1.11111208e-06
 3.00000000e+00  1.00000000e-02  1.00728896e+00 -8.61252634e-03 -8.61252634e-03  1.01767456e-02  1.00323471e+00 -5.70509404e-03 -5.70509404e-03  1.00627361e-02 -2.48583863e-03  4.38421066e-03 -4.37869497e-07  3.84855315e-09  1.33333344e+00 -3.83443198e-07 -3.83443198e-07  1.33333395e-06  1.33524392e+00  1.93397738e-07  1.93397738e-07  1.33333546e-06  6.92866327e-03 -8.18655866e-03  6.43774762e-07 -3.44317513e-08  5.41692259e-04 -9.55229957e-04  1.61789489e-07 -6.33850080e-09  4.16146535e-04  4.79670089e-07  4.82067134e-07 -9.78814808e-13  1.11550202e+00  7.80760434e-07  7.80760434e-07  1.11111876e-06  1.11129286e+00 -2.40711570e-07 -2.40711570e-07  1.11111550e-06  1.11111113e+00 -1.39231660e-07 -1.39231660e-07  1.11111174e-06
 3.10000000e+00  1.00000000e-02  1.00696115e+00 -8.40866736e-03 -8.40866736e-03  1.01575005e-02  1.00297846e+00 -5.47234131e-03 -5.47234131e-03  1.00548881e-02 -2.23305249e-03  4.10271692e-03 -4.09839968e-07  3.32204172e-09  1.33333342e+00 -3.47519887e-07 -3.47519887e-07  1.33333377e-06  1.33500774e+00  1.75115039e-07  1.75115039e-07  1.33333490e-06  6.47763691e-03 -7.82436959e-03  6.27267208e-07 -2.83084987e-08  4.55722057e-04 -8.37157778e-04  1.41437816e-07 -4.93854630e-09  3.41545593e-04  4.34676976e-07  4.36415941e-07 -7.04271432e-13  1.11512970e+00  7.53473987e-07  7.53473987e-07  1.11111676e-06  1.11125085e+00 -2.50467519e-07 -2.50467519e-07  1.11111426e-06  1.11111112e+00 -1.18177752e-07 -1.18177752e-07  1.11111154e-06
 3.20000000e+00  1.00000000e-02  1.00664961e+00 -8.21190909e-03 -8.21190909e-03  1.01415830e-02  1.00275243e+00 -5.25893686e-03 -5.25893686e-03  1.00485055e-02 -2.01392882e-03  3.84785870e-03 -3.84443439e-07  2.89491750e-09  1.33333341e+00 -3.15947389e-07 -3.15947389e-07  1.33333365e-06  1.33480709e+00  1.59081973e-07  1.59081973e-07  1.33333452e-06  6.05530010e-03 -7.47773650e-03  6.09870658e-07 -2.36560606e-08  3.85719012e-04 -7.36848844e-04  1.24251104e-07 -3.91454463e-09  2.82116575e-04  3.95146894e-07  3.96433895e-07 -5.19462157e-13  1.11478729e+00  7.23092061e-07  7.23092061e-07  1.11111540e-06  1.11121947e+00 -2.54326253e-07 -2.54326253e-07  1.11111343e-06  1.11111112e+00 -1.00831041e-07 -1.00831041e-07  1.11111140e-06
 3.30000000e+00  1.00000000e-02  1.00635402e+00 -8.02202285e-03 -8.02202285e-03  1.01282095e-02  1.00255194e+00 -5.06245908e-03 -5.06245908e-03  1.00432318e-02 -1.82295993e-03  3.61628897e-03 -3.61354499e-07  2.54394586e-09  1.33333340e+00 -2.88086469e-07 -2.88086469e-07  1.33333357e-06  1.33463571e+00  1.44959058e-07  1.44959058e-07  1.33333424e-06  5.66126267e-03 -7.14718422e-03  5.91897804e-07 -2.00305547e-08  3.28305795e-04 -6.51170281e-04  1.09635747e-07 -3.14638862e-09  2.34424799e-04  3.60273298e-07  3.61241471e-07 -3.90648521e-13  1.11447390e+00  6.91074270e-07  6.91074270e-07  1.11111443e-06  1.11119580e+00 -2.53965214e-07 -2.53965214e-07  1.11111285e-06  1.11111112e+00 -8.64518733e-08 -8.64518733e-08  1.11111132e-06
 3.40000000e+00  1.00000000e-02  1.00607394e+00 -7.83882535e-03 -7.83882535e-03  1.01168362e-02  1.00237321e+00 -4.88089656e-03 -4.88089656e-03  1.00388183e-02 -1.65570489e-03  3.40519687e-03 -3.40297530e-07  2.25135721e-09  1.33333339e+00 -2.63407363e-07 -2.63407363e-07  1.33333351e-06  1.33448859e+00  1.32467223e-07  1.32467223e-07  1.33333405e-06  5.29460340e-03 -6.83282415e-03  5.73640389e-07 -1.71595096e-08  2.80903293e-04 -5.77622069e-04  9.71331431e-08 -2.56116345e-09  1.95889281e-04  3.29388943e-07  3.30128278e-07 -2.99131719e-13  1.11418805e+00  6.58471139e-07  6.58471139e-07  1.11111373e-06  1.11117780e+00 -2.50612868e-07 -2.50612868e-07  1.11111244e-06  1.11111112e+00 -7.44645381e-08 -7.44645381e-08  1.11111126e-06
 3.50000000e+00  1.00000000e-02  1.00580881e+00 -7.66212752e-03 -7.66212752e-03  1.01070538e-02  1.00221314e+00 -4.71255545e-03 -4.71255545e-03  1.00350813e-02 -1.50854931e-03  3.21219744e-03 -3.21038379e-07  2.00509488e-09  1.33333338e+00 -2.41468517e-07 -2.41468517e-07  1.33333347e-06  1.33436172e+00  1.21375995e-07  1.21375995e-07  1.33333390e-06  4.95405321e-03 -6.53445347e-03  5.55325823e-07 -1.48440035e-08  2.41522479e-04 -5.14192311e-04  8.63794852e-08 -2.10694950e-09  1.64551981e-04  3.01938535e-07  3.02510302e-07 -2.32422096e-13  1.11392791e+00  6.26012933e-07  6.26012933e-07  1.11111321e-06  1.11116400e+00 -2.45173809e-07 -2.45173809e-07  1.11111215e-06  1.11111111e+00 -6.44174973e-08 -6.44174973e-08  1.11111122e-06
 3.60000000e+00  1.00000000e-02  1.00555801e+00 -7.49174192e-03 -7.49174192e-03  1.00985636e-02  1.00206919e+00 -4.55599838e-03 -4.55599838e-03  1.00318864e-02 -1.37852892e-03  3.03525369e-03 -3.03376065e-07  1.79560497e-09  1.33333337e+00 -2.21899915e-07 -2.21899915e-07  1.33333344e-06  1.33425183e+00  1.11493174e-07  1.11493174e-07  1.33333379e-06  4.63815311e-03 -6.25166500e-03  5.37141308e-07 -1.29540486e-08  2.08615890e-04 -4.59250323e-04  7.70852229e-08 -1.75032570e-09  1.38914603e-04  2.77457207e-07  2.77904638e-07 -1.83106012e-13  1.11369155e+00  5.94205764e-07  5.94205764e-07  1.11111281e-06  1.11115333e+00 -2.38315247e-07 -2.38315247e-07  1.11111193e-06  1.11111111e+00 -5.59540536e-08 -5.59540536e-08  1.11111119e-06
 3.70000000e+00  1.00000000e-02  1.00532085e+00 -7.32746823e-03 -7.32746823e-03  1.00911321e-02  1.00193923e+00 -4.40999398e-03 -4.40999398e-03  1.00291304e-02 -1.26319463e-03  2.87261347e-03 -2.87137554e-07  1.61602491e-09  1.33333336e+00 -2.04389913e-07 -2.04389913e-07  1.33333342e-06  1.33415625e+00  1.02657784e-07  1.02657784e-07  1.33333371e-06  4.34534857e-03 -5.98390762e-03  5.19225744e-07 -1.13906526e-08  1.80969606e-04 -4.11465336e-04  6.90159055e-08 -1.46644504e-09  1.17821315e-04  2.55553778e-07  2.55907542e-07 -1.45955023e-13  1.11347698e+00  5.63385191e-07  5.63385191e-07  1.11111251e-06  1.11114502e+00 -2.30530091e-07 -2.30530091e-07  1.11111176e-06  1.11111111e+00 -4.87905182e-08 -4.87905182e-08  1.11111117e-06
 3.80000000e+00  1.00000000e-02  1.00509664e+00 -7.16910033e-03 -7.16910033e-03  1.00845795e-02  1.00182146e+00 -4.27348083e-03 -4.27348083e-03  1.00267340e-02 -1.16050994e-03  2.72276178e-03 -2.72172878e-07  1.46096301e-09  1.33333336e+00 -1.88674772e-07 -1.88674772e-07  1.33333340e-06  1.33407281e+00  9.47340782e-08  9.47340782e-08  1.33333365e-06  4.07406419e-03 -5.73054410e-03  5.01684082e-07 -1.00829784e-08  1.57624144e-04 -3.69744727e-04  6.19808588e-08 -1.23788197e-09  1.00373764e-04  2.35897406e-07  2.36179703e-07 -1.17541353e-13  1.11328228e+00  5.33766231e-07  5.33766231e-07  1.11111227e-06  1.11113851e+00 -2.22181992e-07 -2.22181992e-07  1.11111163e-06  1.11111111e+00 -4.26998218e-08 -4.26998218e-08  1.11111116e-06
