Nondimensionalised resistance scalars, combined, generated 05/09/2023 22:40:41. Time to generate 0s
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 2.00001000e+00  1.00000000e-02  0.00000000e+00  2.04372552e+01  1.04870376e+00 -7.33347949e-02  1.00000113e+00  1.03678416e+00  2.91571994e+01  3.60783314e-02  1.80942922e-02  1.26634009e+01  1.02133834e+00  1.00000133e+00
 2.00001000e+00  1.00000000e-02  1.00000000e+00 -1.94372724e+01 -4.89485123e-02  7.36930546e-02 -1.16385485e-06  5.36790003e-05 -2.91572046e+01 -3.62521374e-02  2.96468871e-05  1.16149842e-01  2.46279717e-04 -1.31536339e-06
 2.00002000e+00  1.00000000e-02  0.00000000e+00  1.07299167e+01  1.04510555e+00 -6.78978685e-02  1.00000113e+00  1.03404549e+00  1.45960923e+01  3.33994897e-02  1.67451673e-02  6.83891834e+00  1.01974268e+00  1.00000132e+00
 2.00002000e+00  1.00000000e-02  1.00000000e+00 -9.72993386e+00 -4.53503045e-02  6.82561283e-02 -1.16134826e-06  4.69019110e-05 -1.45960975e+01 -3.35732958e-02  2.60557462e-05  5.79451973e-02  2.18676849e-04 -1.31241445e-06
 2.00005000e+00  1.00000000e-02  0.00000000e+00  4.90447999e+00  1.04036065e+00 -6.07286432e-02  1.00000112e+00  1.03043442e+00  5.85780688e+00  2.98667666e-02  1.49660989e-02  3.34355203e+00  1.01763831e+00  1.00000132e+00
 2.00005000e+00  1.00000000e-02  1.00000000e+00 -3.90449719e+00 -4.06054014e-02  6.10869030e-02 -1.15444780e-06  3.80658004e-05 -5.85781210e+00 -3.00405727e-02  2.13716628e-05  2.30443914e-02  1.82548879e-04 -1.30429624e-06
 2.00010000e+00  1.00000000e-02  0.00000000e+00  2.96187144e+00  1.03678858e+00 -5.53320368e-02  1.00000111e+00  1.02771648e+00  2.94379674e+00  2.72069934e-02  1.36267796e-02  2.17790905e+00  1.01605378e+00  1.00000130e+00
 2.00010000e+00  1.00000000e-02  1.00000000e+00 -1.96188863e+00 -3.70333312e-02  5.56902965e-02 -1.14390672e-06  3.15635826e-05 -2.94380196e+00 -2.73807995e-02  1.79219663e-05  1.14275624e-02  1.55754710e-04 -1.29189494e-06
 2.00020000e+00  1.00000000e-02  0.00000000e+00  1.98986273e+00  1.03324522e+00 -4.99797191e-02  1.00000109e+00  1.02502132e+00  1.48568854e+00  2.45681657e-02  1.22982312e-02  1.59462770e+00  1.01448147e+00  1.00000128e+00
 2.00020000e+00  1.00000000e-02  1.00000000e+00 -9.89879922e-01 -3.34899714e-02  5.03379788e-02 -1.12454026e-06  2.53632934e-05 -1.48569376e+00 -2.47419717e-02  1.46276372e-05  5.63371289e-03  1.29848844e-04 -1.26911084e-06
 2.00050000e+00  1.00000000e-02  0.00000000e+00  1.40566231e+00  1.02864672e+00 -4.30363487e-02  1.00000104e+00  1.02152637e+00  6.09268640e-01  2.11422559e-02  1.05740894e-02  1.24401199e+00  1.01243944e+00  1.00000122e+00
 2.00050000e+00  1.00000000e-02  1.00000000e+00 -4.05679506e-01 -2.88914799e-02  4.33946085e-02 -1.07263401e-06  1.80668956e-05 -6.09273857e-01 -2.13160619e-02  1.07358646e-05  2.17716473e-03  9.82508599e-05 -1.20804454e-06
 2.00100000e+00  1.00000000e-02  0.00000000e+00  1.21018896e+00  1.02529057e+00 -3.79728222e-02  1.00000097e+00  1.01897969e+00  3.15977662e-01  1.86400058e-02  9.31577336e-03  1.12666316e+00  1.01094684e+00  1.00000113e+00
 2.00100000e+00  1.00000000e-02  1.00000000e+00 -2.10206157e-01 -2.55353304e-02  3.83310819e-02 -9.95720546e-07  1.38353726e-05 -3.15982880e-01 -1.88138119e-02  8.45463010e-06  1.03848695e-03  7.81372978e-05 -1.11755793e-06
 2.00200000e+00  1.00000000e-02  0.00000000e+00  1.11184030e+00  1.02212882e+00 -3.32091740e-02  1.00000083e+00  1.01658720e+00  1.68388436e-01  1.62795770e-02  8.13038611e-03  1.06760087e+00  1.00953701e+00  1.00000097e+00
 2.00200000e+00  1.00000000e-02  1.00000000e+00 -1.11857494e-01 -2.23735787e-02  3.35674338e-02 -8.59050721e-07  1.16482008e-05 -1.68393654e-01 -1.64533830e-02  7.22538491e-06  4.78361774e-04  6.40384171e-05 -9.56769585e-07
 2.00500000e+00  1.00000000e-02  0.00000000e+00  1.05208405e+00  1.01849383e+00 -2.77520999e-02  1.00000048e+00  1.01385646e+00  7.87077537e-02  1.35565798e-02  6.76770354e-03  1.03170981e+00  1.00790520e+00  1.00000056e+00
 2.00500000e+00  1.00000000e-02  1.00000000e+00 -5.21012439e-02 -1.87385865e-02  2.81103597e-02 -5.10972240e-07  1.44842814e-05 -7.87129711e-02 -1.37303859e-02  8.54761836e-06  1.47684257e-04  6.22511792e-05 -5.47264687e-07
 2.01000000e+00  1.00000000e-02  0.00000000e+00  1.03176448e+00  1.01646253e+00 -2.47322860e-02  9.99999996e-01  1.01236058e+00  4.82477881e-02  1.20208607e-02  6.00640729e-03  1.01953322e+00  1.00697668e+00  9.99999989e-01
