Mobility scalars, generated 25/01/2019 15:36:04. Time to generate 0h50m57s
             s'          lambda            x11a            x12a            x21a            x22a            y11a            y12a            y21a            y22a            y11b            y12b            y21b            y22b            x11c            x12c            x21c            x22c            y11c            y12c            y21c            y22c            x11g            x12g            x21g            x22g            y11g            y12g            y21g            y22g            y11h            y12h            y21h            y22h            x11m            x12m            x21m            x22m            y11m            y12m            y21m            y22m            z11m            z12m            z21m            z22m 
 2.90000000e+00  1.00000000e-02  9.99999768e-01  8.65040896e-01  8.65040896e-01  9.87833724e+01  9.99999941e-01  5.91720761e-01  5.91720761e-01  9.97927867e+01  1.29796149e-07 -3.49689816e-01  3.49689050e-01 -7.32283369e-02  7.50000000e-01  2.38777354e-01  2.38777354e-01  7.49999576e+05  7.49999715e-01 -1.19387832e-01 -1.19387832e-01  7.49998463e+05  4.36199883e-07 -8.39492457e-01  6.22125926e-07 -3.64757054e-06 -3.66051397e-08 -1.08713743e-01  1.81171372e-07 -5.31248161e-07 -8.04285071e-08  3.97962495e-01  3.97964333e-07 -1.17936582e-06  1.11111166e+00  7.79024434e-07  7.79024434e-07  1.11112139e-06  1.11111116e+00 -2.24559132e-07 -2.24559132e-07  1.11111691e-06  1.11111114e+00 -1.64950797e-07 -1.64950797e-07  1.11111208e-06
 3.00000000e+00  1.00000000e-02  9.99999773e-01  8.46294554e-01  8.46294554e-01  9.89794550e+01  9.99999955e-01  5.66952370e-01  5.66952370e-01  9.98403533e+01  1.02374939e-07 -3.26765598e-01  3.26765111e-01 -5.45954348e-02  7.50000000e-01  2.15686700e-01  2.15686700e-01  7.49999717e+05  7.49999767e-01 -1.07842807e-01 -1.07842807e-01  7.49998924e+05  4.21695475e-07 -8.04437425e-01  6.14635213e-07 -2.86321291e-06 -3.44355114e-08 -9.49273740e-02  1.58196124e-07 -3.83588323e-07 -7.82681930e-08  3.59478015e-01  3.59479123e-07 -8.39310740e-07  1.11111163e+00  7.62294793e-07  7.62294793e-07  1.11111843e-06  1.11111116e+00 -2.41914174e-07 -2.41914174e-07  1.11111510e-06  1.11111113e+00 -1.39231660e-07 -1.39231660e-07  1.11111174e-06
 3.10000000e+00  1.00000000e-02  9.99999781e-01  8.27828214e-01  8.27828214e-01  9.91347162e+01  9.99999965e-01  5.44246710e-01  5.44246710e-01  9.98751874e+01  8.13777961e-08 -3.06023907e-01  3.06023587e-01 -4.13595240e-02  7.50000000e-01  1.95479873e-01  1.95479873e-01  7.49999805e+05  7.49999809e-01 -9.77395760e-02 -9.77395760e-02  7.49999225e+05  4.01590812e-07 -7.70304288e-01  6.03832497e-07 -2.28708549e-06 -3.13742407e-08 -8.32587257e-02  1.38750203e-07 -2.82707490e-07 -7.36859886e-08  3.25799927e-01  3.25800616e-07 -6.14345701e-07  1.11111160e+00  7.38936380e-07  7.38936380e-07  1.11111647e-06  1.11111117e+00 -2.51289341e-07 -2.51289341e-07  1.11111394e-06  1.11111112e+00 -1.18177752e-07 -1.18177752e-07  1.11111154e-06
 3.20000000e+00  1.00000000e-02  9.99999791e-01  8.09726388e-01  8.09726388e-01  9.92595929e+01  9.99999973e-01  5.23355003e-01  5.23355003e-01  9.99011623e+01  6.51604110e-08 -2.87196221e-01  2.87196007e-01 -3.17380854e-02  7.50000000e-01  1.77720364e-01  1.77720364e-01  7.49999863e+05  7.49999842e-01 -8.88599364e-02 -8.88599364e-02  7.49999428e+05  3.78261824e-07 -7.37333944e-01  5.90715594e-07 -1.85426258e-06 -2.80301490e-08 -7.33291527e-02  1.22202527e-07 -2.12185822e-07 -6.79548666e-08  2.96200712e-01  2.96201154e-07 -4.60632073e-07  1.11111157e+00  7.11463630e-07  7.11463630e-07  1.11111513e-06  1.11111117e+00 -2.54899985e-07 -2.54899985e-07  1.11111317e-06  1.11111112e+00 -1.00831041e-07 -1.00831041e-07  1.11111140e-06
 3.30000000e+00  1.00000000e-02  9.99999801e-01  7.92047325e-01  7.92047325e-01  9.93614736e+01  9.99999979e-01  5.04066641e-01  5.04066641e-01  9.99208655e+01  5.25330241e-08 -2.70054087e-01  2.70053940e-01 -2.46747866e-02  7.50000000e-01  1.62048610e-01  1.62048610e-01  7.49999901e+05  7.49999869e-01 -8.10241337e-02 -8.10241337e-02  7.49999570e+05  3.53403677e-07 -7.05670768e-01  5.76032539e-07 -1.52145436e-06 -2.47329914e-08 -6.48366938e-02  1.08049841e-07 -1.61571425e-07 -6.18347443e-08  2.70081097e-01  2.70081386e-07 -3.51940702e-07  1.11111153e+00  6.81650813e-07  6.81650813e-07  1.11111418e-06  1.11111117e+00 -2.54372956e-07 -2.54372956e-07  1.11111263e-06  1.11111112e+00 -8.64518733e-08 -8.64518733e-08  1.11111132e-06
 3.40000000e+00  1.00000000e-02  9.99999812e-01  7.74829572e-01  7.74829572e-01  9.94454920e+01  9.99999983e-01  4.86202221e-01  4.86202221e-01  9.99360045e+01  4.26259670e-08 -2.54402144e-01  2.54402042e-01 -1.93787020e-02  7.50000000e-01  1.48166621e-01  1.48166621e-01  7.49999928e+05  7.49999890e-01 -7.40831891e-02 -7.40831891e-02  7.49999670e+05  3.28192266e-07 -6.75391143e-01  5.60344585e-07 -1.26196233e-06 -2.16502538e-08 -5.75388248e-02  9.58879602e-08 -1.24740756e-07 -5.57675701e-08  2.46944431e-01  2.46944625e-07 -2.73566148e-07  1.11111149e+00  6.50744759e-07  6.50744759e-07  1.11111350e-06  1.11111117e+00 -2.50907412e-07 -2.50907412e-07  1.11111226e-06  1.11111112e+00 -7.44645381e-08 -7.44645381e-08  1.11111126e-06
 3.50000000e+00  1.00000000e-02  9.99999822e-01  7.58096900e-01  7.58096900e-01  9.95155120e+01  9.99999987e-01  4.69608032e-01  4.69608032e-01  9.99477912e+01  3.47974440e-08 -2.40072542e-01  2.40072469e-01 -1.53776632e-02  7.50000000e-01  1.35826027e-01  1.35826027e-01  7.49999946e+05  7.49999908e-01 -6.79129254e-02 -6.79129254e-02  7.49999743e+05  3.03417924e-07 -6.46523830e-01  5.44072532e-07 -1.05621782e-06 -1.88560774e-08 -5.12394558e-02  8.53900889e-08 -9.73960349e-08 -4.99985861e-08  2.26376759e-01  2.26376891e-07 -2.15630608e-07  1.11111146e+00  6.19614819e-07  6.19614819e-07  1.11111299e-06  1.11111117e+00 -2.45389588e-07 -2.45389588e-07  1.11111199e-06  1.11111111e+00 -6.44174973e-08 -6.44174973e-08  1.11111122e-06
 3.60000000e+00  1.00000000e-02  9.99999833e-01  7.41862008e-01  7.41862008e-01  9.95743433e+01  9.99999990e-01  4.54151656e-01  4.54151656e-01  9.99570601e+01  2.85695505e-08 -2.26920411e-01  2.26920358e-01 -1.23034263e-02  7.50000000e-01  1.24818692e-01  1.24818692e-01  7.49999960e+05  7.49999922e-01 -6.24092814e-02 -6.24092814e-02  7.49999798e+05  2.79590422e-07 -6.19064567e-01  5.27531102e-07 -8.91406152e-07 -1.63720185e-08 -4.57790429e-02  7.62903423e-08 -7.68867973e-08 -4.46521148e-08  2.08031190e-01  2.08031282e-07 -1.72187042e-07  1.11111142e+00  5.88859403e-07  5.88859403e-07  1.11111262e-06  1.11111116e+00 -2.38475400e-07 -2.38475400e-07  1.11111180e-06  1.11111111e+00 -5.59540536e-08 -5.59540536e-08  1.11111119e-06
 3.70000000e+00  1.00000000e-02  9.99999843e-01  7.26129336e-01  7.26129336e-01  9.96241726e+01  9.99999992e-01  4.39718437e-01  4.39718437e-01  9.99644251e+01  2.35833955e-08 -2.14820193e-01  2.14820154e-01 -9.92426685e-03  7.50000000e-01  1.14969318e-01  1.14969318e-01  7.49999969e+05  7.49999934e-01 -5.74846113e-02 -5.74846113e-02  7.49999839e+05  2.57018825e-07 -5.92986560e-01  5.10954575e-07 -7.57759294e-07 -1.41911118e-08 -4.10270072e-02  6.83711073e-08 -6.12706633e-08 -3.97790821e-08  1.91615560e-01  1.91615624e-07 -1.39017550e-07  1.11111139e+00  5.58882099e-07  5.58882099e-07  1.11111233e-06  1.11111116e+00 -2.30650341e-07 -2.30650341e-07  1.11111165e-06  1.11111111e+00 -4.87905182e-08 -4.87905182e-08  1.11111117e-06
 3.80000000e+00  1.00000000e-02  9.99999853e-01  7.10897194e-01  7.10897194e-01  9.96666735e+01  9.99999993e-01  4.26208618e-01  4.26208618e-01  9.99703310e+01  1.95673008e-08 -2.03662630e-01  2.03662602e-01 -8.06755180e-03  7.50000000e-01  1.06129554e-01  1.06129554e-01  7.49999976e+05  7.49999944e-01 -5.30647409e-02 -5.30647409e-02  7.49999870e+05  2.35870980e-07 -5.68248027e-01  4.94516048e-07 -6.48291108e-07 -1.22919872e-08 -3.68758777e-02  6.14532818e-08 -4.92337154e-08 -3.53868453e-08  1.76882613e-01  1.76882659e-07 -1.13321984e-07  1.11111136e+00  5.29946397e-07  5.29946397e-07  1.11111210e-06  1.11111116e+00 -2.22273229e-07 -2.22273229e-07  1.11111154e-06  1.11111111e+00 -4.26998218e-08 -4.26998218e-08  1.11111116e-06
