'D'-form nondimensionalised resistance scalars, generated 05/09/2023 22:40:55
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 2.02500000e+00  1.00000000e-02  1.00000000e+00 -7.87476354e-03 -2.71800187e-03  4.04348774e-03 -8.89473383e-09  7.11490915e-07 -1.20168163e-02 -1.93415249e-03  3.64206614e-07  1.41635224e-05  4.96681773e-06 -1.40890298e-08
 2.05000000e+00  1.00000000e-02  0.00000000e+00  4.03919026e-03  1.39194934e-03 -2.05582920e-03  2.29238717e-09  1.01212265e-03  6.22232544e-03  9.59126652e-04  4.72190186e-04  2.55611744e-03  5.28719047e-04  3.73121112e-09
 2.05000000e+00  1.00000000e-02  1.00000000e+00 -4.04553700e-03 -1.46220645e-03  2.15958827e-03 -2.28251117e-09  1.87384699e-07 -6.23210289e-03 -1.00753271e-03  9.37377941e-08  5.25836183e-06  1.86226639e-06 -3.83952886e-09
 2.10000000e+00  1.00000000e-02  0.00000000e+00  1.96051173e-03  6.28404139e-04 -9.15606934e-04  5.41344525e-10  4.44692478e-04  3.06193259e-03  4.06952541e-04  1.97647794e-04  1.27523730e-03  2.10835004e-04  9.09916142e-10
 2.10000000e+00  1.00000000e-02  1.00000000e+00 -1.96961369e-03 -6.84420161e-04  9.97222595e-04 -4.21007271e-10  4.12100968e-08 -3.07614777e-03 -4.43227178e-04  1.95777820e-08  1.75171799e-06  5.61730784e-07 -7.37898848e-10
 2.20000000e+00  1.00000000e-02  0.00000000e+00  8.65629614e-04  2.27286424e-04 -3.22495052e-04  1.70172543e-10  1.52528999e-04  1.37101251e-03  1.30577103e-04  6.17583116e-05  5.79054903e-04  6.00143396e-05  2.54878563e-10
 2.20000000e+00  1.00000000e-02  1.00000000e+00 -8.78188156e-04 -2.64869452e-04  3.75820932e-04 -5.60269790e-11  8.64417740e-09 -1.39090290e-03 -1.52168334e-04  3.69365044e-09  5.07609721e-07  1.27279543e-07 -9.19125528e-11
 2.30000000e+00  1.00000000e-02  0.00000000e+00  4.98259274e-04  1.08602986e-04 -1.50077413e-04  9.99909044e-11  6.91303307e-05  7.90842144e-04  5.55904485e-05  2.56066607e-05  3.34728842e-04  2.27642952e-05  1.26434418e-10
 2.30000000e+00  1.00000000e-02  1.00000000e+00 -5.12341258e-04 -1.34785477e-04  1.86258530e-04 -1.47335960e-11  3.03626980e-09 -8.13193095e-04 -6.89922228e-05  1.18194648e-09  2.28730297e-07  4.51440139e-08 -2.14026001e-11
 2.40000000e+00  1.00000000e-02  0.00000000e+00  3.19319542e-04  5.91556587e-05 -7.96175841e-05  6.74023060e-11  3.57191896e-05  5.04001134e-04  2.70824385e-05  1.21500989e-05  2.12132094e-04  9.91919430e-06  7.24094118e-11
 2.40000000e+00  1.00000000e-02  1.00000000e+00 -3.33686089e-04 -7.78793860e-05  1.04817698e-04 -5.26988832e-12  1.23094353e-09 -5.26676659e-04 -3.56543373e-05  4.41307672e-10  1.24289387e-07  1.96812087e-08 -6.69167999e-12
 2.50000000e+00  1.00000000e-02  0.00000000e+00  2.16979743e-04  3.49190677e-05 -4.57776468e-05  4.76050310e-11  2.00043526e-05  3.38789913e-04  1.43495955e-05  6.27060860e-06  1.41062173e-04  4.71754489e-06  4.42039738e-11
 2.50000000e+00  1.00000000e-02  1.00000000e+00 -2.30877414e-04 -4.85961825e-05  6.37077496e-05 -2.25017810e-12  5.12722055e-10 -3.60489563e-04 -1.99699667e-05  1.71208390e-10  7.48796790e-08  9.71061814e-09 -2.50922116e-12
 2.60000000e+00  1.00000000e-02  0.00000000e+00  1.53012401e-04  2.17961650e-05 -2.78365548e-05  3.44433371e-11  1.18503590e-05  2.35493390e-04  8.06683477e-06  3.43413433e-06  9.66495045e-05  2.38852042e-06  2.81938917e-11
 2.60000000e+00  1.00000000e-02  1.00000000e+00 -1.66014339e-04 -3.19658516e-05  4.08244978e-05 -1.07841486e-12  2.03317594e-10 -2.55503971e-04 -1.18306151e-05  6.43227646e-11  4.80726461e-08  5.20419090e-09 -1.06270409e-12
 2.70000000e+00  1.00000000e-02  0.00000000e+00  1.10757559e-04  1.41868847e-05 -1.76545997e-05  2.53361776e-11  7.32335072e-06  1.67600072e-04  4.74390066e-06  1.96781479e-06  6.76306989e-05  1.26908886e-06  1.86568538e-11
 2.70000000e+00  1.00000000e-02  1.00000000e+00 -1.22654049e-04 -2.18651012e-05  2.72095527e-05 -5.60891118e-13  6.57627045e-11 -1.85602006e-04 -7.31135391e-06  2.06625068e-11  3.22196414e-08  2.96139330e-09 -4.91609203e-13
 2.80000000e+00  1.00000000e-02  0.00000000e+00  8.17755810e-05  9.54452280e-06 -1.15763427e-05  1.88844496e-11  4.68026266e-06  1.21453162e-04  2.89223587e-06  1.16930344e-06  4.81019759e-05  7.01179016e-07  1.27606814e-11
 2.80000000e+00  1.00000000e-02  1.00000000e+00 -9.24960594e-05 -1.54200806e-05  1.87026347e-05 -3.10201368e-13  4.93248895e-12 -1.37375205e-04 -4.67265437e-06  2.98021063e-12  2.22836625e-08  1.76475398e-09 -2.43551317e-13
 2.90000000e+00  1.00000000e-02  0.00000000e+00  6.13407980e-05  6.59695951e-06 -7.80070546e-06  1.42366119e-11  3.07472502e-06  8.93073738e-05  1.81673497e-06  7.16070826e-07  3.46732207e-05  4.00282397e-07  8.99258445e-12
 2.90000000e+00  1.00000000e-02  1.00000000e+00 -7.08992726e-05 -1.11469500e-05  1.31808993e-05 -1.80005138e-13 -2.03194697e-11 -1.03223738e-04 -3.06973600e-06 -3.66780103e-12  1.57864224e-08  1.09096493e-09 -1.27385992e-13
 3.00000000e+00  1.00000000e-02  0.00000000e+00  4.66231953e-05  4.66404297e-06 -5.37853711e-06  1.08419940e-11  2.06751585e-06  6.64858698e-05  1.17044933e-06  4.49910251e-07  2.52828324e-05  2.35009851e-07  6.51056986e-12
 3.00000000e+00  1.00000000e-02  1.00000000e+00 -5.50823306e-05 -8.22536815e-06  9.48540444e-06 -1.08596767e-13 -2.89841290e-11 -7.85487897e-05 -2.06415462e-06 -5.63711213e-12  1.14010286e-08  6.95100639e-10 -6.96727115e-14
